Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.01,0.01
Non Wetland,996.26,996.26
Wetland - Medium Probability,19.09,38.13
Wetland - High Probability,0.49,5.50
Wetland - Low Probability,44.92,20.88
