Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.19,0.19
Non Wetland,2917.79,2917.88
Wetland - Medium Probability,617.02,907.02
Wetland - High Probability,18.00,92.02
Wetland - Low Probability,920.40,556.29
