Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,1.07,1.07
Non Wetland,3047.71,3047.71
Wetland - Medium Probability,124.56,209.93
Wetland - High Probability,5.25,19.79
Wetland - Low Probability,296.85,196.94
