Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,102.49,102.54
Non Wetland,1425.56,1425.62
Wetland - Medium Probability,346.00,481.21
Wetland - High Probability,84.80,134.48
Wetland - Low Probability,468.86,283.86
