Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,-0.000865980809858
Wetland - Medium Probability,0.0,-66.2624242045
Wetland - High Probability,0.0,-218.423383525
Wetland - Low Probability,0.0,46.2603093696
