Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,4094.23,4094.23
Non Wetland,474.03,474.03
Wetland - Medium Probability,23.15,25.07
Wetland - High Probability,29.85,37.62
Wetland - Low Probability,26.01,16.32
