Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,0.0
Wetland - Medium Probability,0.0,-26.3424518744
Wetland - High Probability,0.0,-73.9155251142
Wetland - Low Probability,0.0,50.9056431047
