Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,478.91,478.93
Non Wetland,1097.56,1098.12
Wetland - Medium Probability,121.31,129.00
Wetland - High Probability,55.21,57.64
Wetland - Low Probability,210.93,200.23
