Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,0.0
Wetland - Medium Probability,0.0,13.5021097046
Wetland - High Probability,0.0,-56.2300319489
Wetland - Low Probability,0.0,54.6798029557
