Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,1038.36,1038.36
Non Wetland,949.47,949.47
Wetland - Medium Probability,85.72,79.50
Wetland - High Probability,57.94,92.48
Wetland - Low Probability,65.19,36.86
