Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.0,0.0
Non Wetland,542.78,542.94
Wetland - Medium Probability,31.11,32.51
Wetland - High Probability,2.84,5.21
Wetland - Low Probability,70.57,66.63
