Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,2.22,2.22
Non Wetland,1791.88,1791.91
Wetland - Medium Probability,5.90,6.35
Wetland - High Probability,4.05,5.24
Wetland - Low Probability,11.65,9.99
