Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,26.33,26.33
Non Wetland,650.27,650.27
Wetland - Medium Probability,28.60,29.70
Wetland - High Probability,9.17,16.83
Wetland - Low Probability,39.45,30.69
