Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,2267.05,2267.05
Non Wetland,1000.93,1000.93
Wetland - Medium Probability,37.81,45.61
Wetland - High Probability,25.63,36.55
Wetland - Low Probability,44.56,25.84
