Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.01,0.01
Non Wetland,3051.47,3051.68
Wetland - Medium Probability,100.87,162.31
Wetland - High Probability,1.27,3.81
Wetland - Low Probability,177.41,113.22
