Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.00,0.00
Non Wetland,365.46,365.47
Wetland - Medium Probability,25.58,21.09
Wetland - High Probability,6.98,14.59
Wetland - Low Probability,12.16,9.05
