Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.0,0.0
Non Wetland,558.47,558.47
Wetland - Medium Probability,15.40,18.00
Wetland - High Probability,0.44,1.59
Wetland - Low Probability,25.39,21.64
