Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.0,0.0
Non Wetland,439.92,439.92
Wetland - Medium Probability,0.12,0.34
Wetland - High Probability,0.0,0.01
Wetland - Low Probability,0.99,0.76
