Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,830.60,830.60
Non Wetland,1012.36,1012.36
Wetland - Medium Probability,53.02,56.81
Wetland - High Probability,29.94,49.36
Wetland - Low Probability,55.95,32.74
