Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.00,0.00
Non Wetland,1102.38,1102.38
Wetland - Medium Probability,34.50,35.61
Wetland - High Probability,9.78,21.20
Wetland - Low Probability,39.22,26.70
