Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,-0.00702607375972
Wetland - Medium Probability,0.0,-23.6037088414
Wetland - High Probability,0.0,-243.599689682
Wetland - Low Probability,0.0,20.1773510545
