Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,1877.01,1877.01
Non Wetland,3496.58,3496.58
Wetland - Medium Probability,66.09,92.06
Wetland - High Probability,31.54,46.33
Wetland - Low Probability,90.32,49.56
