Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,1.70,1.71
Non Wetland,678.94,679.01
Wetland - Medium Probability,53.22,50.07
Wetland - High Probability,20.42,28.60
Wetland - Low Probability,59.48,54.38
