Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,2.46,2.46
Non Wetland,1884.74,1884.74
Wetland - Medium Probability,33.35,63.29
Wetland - High Probability,1.43,3.55
Wetland - Low Probability,104.43,72.38
