Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.10,0.10
Non Wetland,3262.65,3262.68
Wetland - Medium Probability,55.29,91.90
Wetland - High Probability,0.94,5.18
Wetland - Low Probability,116.54,75.65
