Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,36.71,36.71
Non Wetland,644.81,644.81
Wetland - Medium Probability,12.69,15.81
Wetland - High Probability,10.60,13.46
Wetland - Low Probability,17.61,11.63
