Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,42.70,42.70
Non Wetland,4356.46,4356.54
Wetland - Medium Probability,57.60,90.22
Wetland - High Probability,10.71,21.28
Wetland - Low Probability,135.34,92.06
