Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.30,0.30
Non Wetland,4993.92,4993.94
Wetland - Medium Probability,159.58,212.29
Wetland - High Probability,2.79,15.95
Wetland - Low Probability,285.49,219.59
