Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,0.0
Wetland - Medium Probability,0.0,-3.84615384615
Wetland - High Probability,0.0,-83.5332606325
Wetland - Low Probability,0.0,22.2053231939
