Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,-0.00290668100629
Non Wetland,0.0,-0.000562970549559
Wetland - Medium Probability,0.0,-51.7872811599
Wetland - High Probability,0.0,-84.5973063364
Wetland - Low Probability,0.0,37.3475801383
