Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.05,0.05
Non Wetland,3532.67,3532.78
Wetland - Medium Probability,191.66,308.70
Wetland - High Probability,0.63,7.71
Wetland - Low Probability,380.00,255.75
