Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,77.73,77.73
Non Wetland,1805.24,1805.24
Wetland - Medium Probability,38.18,46.18
Wetland - High Probability,11.61,24.88
Wetland - Low Probability,57.21,35.93
