Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,9268.68,9268.68
Non Wetland,231.19,231.19
Wetland - Medium Probability,35.29,40.85
Wetland - High Probability,20.95,31.69
Wetland - Low Probability,34.07,17.76
