Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.00,0.00
Non Wetland,879.20,879.20
Wetland - Medium Probability,2.52,3.46
Wetland - High Probability,0.04,0.13
Wetland - Low Probability,5.43,4.40
