Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,-0.00273627756801
Wetland - Medium Probability,0.0,17.5527756059
Wetland - High Probability,0.0,-109.025787966
Wetland - Low Probability,0.0,25.5756578947
