Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.09,0.09
Non Wetland,2846.54,2846.74
Wetland - Medium Probability,273.94,338.60
Wetland - High Probability,12.89,44.29
Wetland - Low Probability,477.02,380.77
