Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,-0.00131781822015
Wetland - Medium Probability,0.0,3.86689132266
Wetland - High Probability,0.0,-38.6679798104
Wetland - Low Probability,0.0,29.9966446706
