Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.03,0.03
Non Wetland,3022.02,3022.07
Wetland - Medium Probability,171.77,284.28
Wetland - High Probability,1.20,5.01
Wetland - Low Probability,329.11,212.75
