Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,216.20,216.20
Non Wetland,1194.42,1194.42
Wetland - Medium Probability,14.56,15.00
Wetland - High Probability,7.06,8.57
Wetland - Low Probability,19.79,17.83
