Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.12,0.12
Non Wetland,1404.52,1404.52
Wetland - Medium Probability,45.50,58.88
Wetland - High Probability,2.80,5.87
Wetland - Low Probability,97.96,81.50
