Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.16,0.16
Non Wetland,399.68,399.68
Wetland - Medium Probability,183.06,146.02
Wetland - High Probability,59.18,115.17
Wetland - Low Probability,52.10,33.16
