Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.05,0.06
Non Wetland,2019.24,2019.24
Wetland - Medium Probability,57.22,88.06
Wetland - High Probability,4.15,11.32
Wetland - Low Probability,135.32,97.31
