Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,-0.00316636058514
Wetland - Medium Probability,0.0,-23.6782647989
Wetland - High Probability,0.0,-240.201005025
Wetland - Low Probability,0.0,21.6612729234
