Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,286.18,286.21
Non Wetland,2396.75,2396.92
Wetland - Medium Probability,179.88,229.77
Wetland - High Probability,38.92,108.84
Wetland - Low Probability,324.37,204.36
