Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.12,0.12
Non Wetland,463.09,463.12
Wetland - Medium Probability,97.11,79.67
Wetland - High Probability,28.56,54.06
Wetland - Low Probability,66.25,58.15
