Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,4.41,4.41
Non Wetland,3336.57,3336.57
Wetland - Medium Probability,110.46,138.04
Wetland - High Probability,11.55,23.80
Wetland - Low Probability,144.92,105.08
