Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.29,0.29
Non Wetland,389.25,389.25
Wetland - Medium Probability,5.69,7.30
Wetland - High Probability,0.24,0.90
Wetland - Low Probability,10.11,7.84
