Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,15.71,15.71
Non Wetland,169.53,169.53
Wetland - Medium Probability,4.74,4.10
Wetland - High Probability,3.13,4.89
Wetland - Low Probability,2.03,0.92
