Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,91.26,91.28
Non Wetland,1409.49,1409.49
Wetland - Medium Probability,27.04,37.20
Wetland - High Probability,8.81,12.73
Wetland - Low Probability,45.96,31.87
