Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,81.56,81.56
Non Wetland,1438.23,1438.23
Wetland - Medium Probability,0.85,1.59
Wetland - High Probability,0.00,0.04
Wetland - Low Probability,2.90,2.13
