Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,758.30,758.30
Non Wetland,2766.48,2766.48
Wetland - Medium Probability,191.57,269.90
Wetland - High Probability,25.23,64.63
Wetland - Low Probability,274.17,156.45
