Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,0.0
Wetland - Medium Probability,0.0,-97.7272727273
Wetland - High Probability,0.0,-500.0
Wetland - Low Probability,0.0,28.7425149701
