Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,15.82,15.83
Non Wetland,3174.65,3174.67
Wetland - Medium Probability,146.79,220.26
Wetland - High Probability,21.08,42.59
Wetland - Low Probability,263.23,168.23
