Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.0,0.0
Non Wetland,2309.00,2309.00
Wetland - Medium Probability,12.28,15.69
Wetland - High Probability,4.26,7.89
Wetland - Low Probability,27.16,20.12
