Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,44.08,44.08
Non Wetland,1246.53,1246.63
Wetland - Medium Probability,32.87,43.52
Wetland - High Probability,3.82,4.58
Wetland - Low Probability,83.65,72.13
