Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.00,0.00
Non Wetland,522.77,522.77
Wetland - Medium Probability,0.83,1.27
Wetland - High Probability,0.00,0.08
Wetland - Low Probability,2.25,1.74
