Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.0,0.0
Non Wetland,1713.08,1713.08
Wetland - Medium Probability,12.44,20.50
Wetland - High Probability,1.39,3.59
Wetland - Low Probability,20.81,10.54
