Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.20,0.20
Non Wetland,2666.36,2666.36
Wetland - Medium Probability,770.82,930.31
Wetland - High Probability,81.30,233.38
Wetland - Low Probability,666.98,355.41
