Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,72.27,72.27
Non Wetland,502.24,502.58
Wetland - Medium Probability,98.40,93.17
Wetland - High Probability,60.10,67.98
Wetland - Low Probability,136.13,133.15
