Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,-0.00269275209056
Wetland - Medium Probability,0.0,-53.3511552416
Wetland - High Probability,0.0,-135.006273526
Wetland - Low Probability,0.0,38.912847257
