Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,36098.50,36098.94
Non Wetland,181766.41,181772.10
Wetland - Medium Probability,8247.99,10887.03
Wetland - High Probability,1733.48,3101.88
Wetland - Low Probability,13074.08,9060.50
