Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,35.06,35.06
Non Wetland,1280.23,1280.79
Wetland - Medium Probability,63.56,72.13
Wetland - High Probability,15.35,22.00
Wetland - Low Probability,162.78,147.00
