Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.0,0.0
Non Wetland,378.75,378.75
Wetland - Medium Probability,5.41,10.61
Wetland - High Probability,0.08,0.38
Wetland - Low Probability,21.14,15.64
