Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,1360.54,1360.66
Non Wetland,73367.40,73368.91
Wetland - Medium Probability,3898.84,5330.68
Wetland - High Probability,435.53,1038.55
Wetland - Low Probability,6080.40,4043.91
